name,city,iata_code,icao,latitude,longitude,url,city_code,country,state,county
Bob Baker Memorial Airport,,IAN,PAIK,66.9753137,-160.4408276,,IAN,US,,
Sayak (Siargao),Libas,IAO,RPNS,9.8588579,126.01524291807397,,IAO,PH,Caraga,Province of Surigao del Sur
Bahregan,Bandar-e Bushehr,IAQ,OI20,28.933332,50.833332,,IAQ,IR,Bushehr,
Tunoshna Airport,Yaroslavl,IAR,UUDL,57.61667,39.88333,,IAR,RU,Jaroslavl,
Iasi Airport,Iasi,IAS,LRIA,47.176987,27.616993,http://www.aeroport.ro/,IAS,RO,Iasi,Municipiul Iasi
Iaura,,IAU,,-9.783333,148.1,,IAU,PG,,
Ibadan Airport,Ibadan,IBA,DNIB,7.431944,3.911111,http://www.faannigeria.org/nigeria-airport.php?airport=7,IBA,NG,Oyo,
General Villamil,Puerto Villamil,IBB,SEII,-0.93954245,-90.95354920435727,,IBB,EC,Galapagos,Canton Isabela
Ibague Airport,Ibague,IBE,SKIB,4.42177875,-75.13465345063345,,IBE,CO,Tolima,
Iboki,,IBI,,-5.553333,149.19028,,IBI,PG,,
Indigo Bay Lodge,Beira,IBL,,-21.708,35.452801,,IBL,MZ,Sofala,
Iron Bridge Mine Airport,Marble Bar,IBM,YIBO,-21.288219641995,118.88711754386,,IBM,AU,Western Australia,
Ibo,,IBO,FQIB,-12.333333,40.583332,,IBO,MZ,,
Iberia,Iberia,IBP,SPBR,-11.366667,-69.583336,,IBP,PE,Madre de Dios,Provincia de Tahuamanu
Ibaraki Airport,Okunoya,IBR,RJAH,36.17627924999999,140.40694559765183,,IBR,JP,Ibaraki,
Ibiza Airport,Ibiza,IBZ,LEIB,38.87294785,1.370372414235323,,IBZ,ES,Balearic Islands,Illes Balears
Icabaru,,ICA,SVIC,4.3380481,-61.7385793,,ICA,VE,,
Andrés Miguel Salazar Marcano Airport,Punta de Piedras,ICC,SVIE,10.7941896,-63.981485910982265,,ICC,VE,Nueva Esparta,Municipio Tubores
Cicia,,ICI,NFCI,-17.7442632,-179.34202519218303,,ICI,FJ,,
Nieuw Nickerie,Nieuw Nickerie,ICK,SMNI,5.933333,-56.983334,,ICK,SR,Nickerie,
Municipal,Clarinda,ICL,KICL,40.733334,-95.03333,,ICL,US,Iowa,Page County
Incheon International Airport,,ICN,RKSI,37.4634169,126.44164409450852,,SEL,KR,,
Sicogon Island,San Fernando,ICO,,11.4593295,123.2505409,,ICO,PH,Western Visayas,Province of Iloilo
Nicaro,Gibara,ICR,,20.983334,-75.975,,ICR,CU,Holguin,
Cascade,Cascade,ICS,KU70,44.492787,-116.0151769717505,,ICS,US,Idaho,Valley County
Wichita Dwight D. Eisenhower National Airport,Wichita,ICT,KICT,37.65333905,-97.43088979155792,,ICT,US,Kansas,Sedgwick County
Icy Bay,,ICY,19AK,60.0,-141.25,,ICY,US,,
Idaho Falls Regional Airport,Idaho Falls,IDA,KIDA,43.5151828,-112.06621704111444,,IDA,US,Idaho,Bonneville County
Idre,,IDB,ESUE,61.8697222,12.6894444,,IDB,SE,,
Ila Da Chilonzuene,Villasila de Valdavia,IDC,,42.533333333333,-4.55,,IDC,MZ,Castille and Leon,Provincia de Palencia
Idiofa,,IDF,FZCB,-5.033333,19.6,,IDF,CD,,
Municipal,Ida Grove,IDG,,42.35,-95.46667,,IDG,US,Iowa,Ida County
Idaho County,Grangeville,IDH,KGIC,45.9408437,-116.12396495087752,http://idahocountyairport.com/,IDH,US,Idaho,Idaho County
ndiana County Airport (Jimmy Stewart Field),Indiana,IDI,KIDI,40.61667,-79.15,http://www.jimmystewartairport.com/,IDI,US,Pennsylvania,Indiana County
Indulkana,,IDK,YIDK,-26.966667,133.325,,IDK,AU,,
Indagen,,IDN,AYID,-6.2266791,147.24335835561104,,IDN,PG,,
Rio,,IDO,SWIY,-11.566667,-50.666668,,IDO,BR,,
Independence,Independence,IDP,KIDP,37.233334,-95.7,,IDP,US,Kansas,Montgomery County
Devi Ahilya Bai Holkar Airport,Indore,IDR,VAID,22.728651,75.80944,http://aai.aero/allAirports/indore_technicalinfo.jsp,IDR,IN,Madhya Pradesh,Indore
Ile d'Yeu,Notre-Dame-de-Monts,IDY,LFEY,46.7170388,-2.3908226881728325,,IDY,FR,Pays de la Loire,Departement de la Vendee
Zielona Gora-Babimost Airport,Zielona Gora,IEG,EPZG,51.933334,15.516667,http://www.lotnisko.zielonagora.pl/,IEG,PL,Lubusz,Zielona Gora
Iejima,,IEJ,RORE,26.722637,127.786988,,IEJ,JP,,
Riesa,,IES,EDAU,51.3,13.283333,,IES,DE,,
Kyiv International Airport,Chabany,IEV,UKKK,50.401943,30.450832,https://iev.aero/,IEV,UA,Kiev,
Iowa Falls,Iowa Falls,IFA,KIFA,42.516666,-93.26667,http://www.cityofiowafalls.com/airport.asp,IFA,US,Iowa,Hardin County
Iffley,,IFF,YIFY,-18.8773769,141.2150007,,IFF,AU,,
Hesa,Shahin Shahr,IFH,OIFE,32.9223228,51.56215824869354,,IFH,IR,Isfahan,
Isafjordur Airport,,IFJ,BIIS,66.05682685,-23.138580266091083,,IFJ,IS,,
Innisfail,Innisfail,IFL,YIFL,-17.55,146.01666,,IFL,AU,Queensland,Cassowary Coast
Isfahan International Airport,Dowlatabad,IFN,OIFM,32.76145385,51.88885076271911,,IFN,IR,Isfahan,
Ivano-Frankovsk Airport,Cherniyiv,IFO,UKLI,48.887535,24.707565,http://www.aeroportifua.ifrastudio.com/index.php?area=2,IFO,UA,Ivano-Frankivsk,
